data_set	dimension	n_components	smith09_map	network	analysis_priority	best_component	correlation	absolute_correlation	sign	next_component	next_correlation	next_absolute_correlation	absolute_correlation_margin
smoothed	automatic	225	1	primary_visual	other	83	0.69	0.69	positive	53	0.24	0.24	0.45
smoothed	automatic	225	2	occipital_pole	other	60	0.39	0.39	positive	35	0.27	0.27	0.12
smoothed	automatic	225	3	lateral_visual	other	60	0.33	0.33	positive	86	0.25	0.25	0.08
smoothed	automatic	225	4	default_mode	primary	71	0.58	0.58	positive	89	0.43	0.43	0.15
smoothed	automatic	225	5	cerebellum	secondary	27	0.21	0.21	positive	105	0.2	0.2	0.01
smoothed	automatic	225	6	sensorimotor	secondary	110	0.29	0.29	positive	73	0.28	0.28	0.01
smoothed	automatic	225	7	auditory	other	124	0.26	0.26	positive	107	0.26	0.26	0
smoothed	automatic	225	8	executive_control	primary	74	0.31	0.31	positive	80	0.28	0.28	0.03
smoothed	automatic	225	9	right_frontoparietal	primary	102	0.47	0.47	positive	57	0.18	0.18	0.29
smoothed	automatic	225	10	left_frontoparietal	primary	87	0.59	0.59	positive	91	0.2	0.2	0.39
smoothed	20	20	1	primary_visual	other	10	0.4	0.4	positive	9	0.12	0.12	0.28
smoothed	20	20	2	occipital_pole	other	8	-0.14	0.14	negative	4	-0.13	0.13	0.01
smoothed	20	20	3	lateral_visual	other	10	0.4	0.4	positive	8	-0.12	0.12	0.28
smoothed	20	20	4	default_mode	primary	13	0.22	0.22	positive	10	0.14	0.14	0.08
smoothed	20	20	5	cerebellum	secondary	14	0.25	0.25	positive	6	0.23	0.23	0.02
smoothed	20	20	6	sensorimotor	secondary	16	0.44	0.44	positive	19	0.22	0.22	0.22
smoothed	20	20	7	auditory	other	9	0.55	0.55	positive	18	-0.14	0.14	0.41
smoothed	20	20	8	executive_control	primary	8	0.47	0.47	positive	12	0.15	0.15	0.32
smoothed	20	20	9	right_frontoparietal	primary	12	0.33	0.33	positive	18	-0.27	0.27	0.06
smoothed	20	20	10	left_frontoparietal	primary	18	0.27	0.27	positive	16	0.16	0.16	0.11
denoised	automatic	144	1	primary_visual	other	10	0.74	0.74	positive	20	0.27	0.27	0.47
denoised	automatic	144	2	occipital_pole	other	32	0.61	0.61	positive	12	0.33	0.33	0.28
denoised	automatic	144	3	lateral_visual	other	17	0.43	0.43	positive	20	0.26	0.26	0.17
denoised	automatic	144	4	default_mode	primary	23	0.47	0.47	positive	53	0.35	0.35	0.12
denoised	automatic	144	5	cerebellum	secondary	57	0.4	0.4	positive	118	0.29	0.29	0.11
denoised	automatic	144	6	sensorimotor	secondary	22	0.34	0.34	positive	64	0.25	0.25	0.09
denoised	automatic	144	7	auditory	other	55	0.34	0.34	positive	66	0.27	0.27	0.07
denoised	automatic	144	8	executive_control	primary	16	0.4	0.4	positive	21	0.33	0.33	0.07
denoised	automatic	144	9	right_frontoparietal	primary	15	0.48	0.48	positive	38	0.28	0.28	0.2
denoised	automatic	144	10	left_frontoparietal	primary	28	0.39	0.39	positive	31	0.28	0.28	0.11
denoised	20	20	1	primary_visual	other	6	0.62	0.62	positive	18	0.13	0.13	0.49
denoised	20	20	2	occipital_pole	other	17	0.33	0.33	positive	6	0.2	0.2	0.13
denoised	20	20	3	lateral_visual	other	6	0.5	0.5	positive	14	0.15	0.15	0.35
denoised	20	20	4	default_mode	primary	10	0.75	0.75	positive	5	-0.11	0.11	0.64
denoised	20	20	5	cerebellum	secondary	14	0.34	0.34	positive	7	-0.15	0.15	0.19
denoised	20	20	6	sensorimotor	secondary	3	0.5	0.5	positive	11	0.28	0.28	0.22
denoised	20	20	7	auditory	other	11	0.59	0.59	positive	15	0.34	0.34	0.25
denoised	20	20	8	executive_control	primary	5	0.62	0.62	positive	18	0.11	0.11	0.51
denoised	20	20	9	right_frontoparietal	primary	8	0.36	0.36	positive	5	0.2	0.2	0.16
denoised	20	20	10	left_frontoparietal	primary	8	0.38	0.38	positive	18	-0.2	0.2	0.18
