randomise_index	participant	EV1_intercept	EV2_delta_fd_mean_demeaned
0	sub-189	1	-0.0301205037
1	sub-203	1	-0.006892503704
2	sub-207	1	0.0751954963
3	sub-208	1	-0.0274555037
4	sub-209	1	-0.1138525037
5	sub-210	1	0.0517424963
6	sub-211	1	-0.0791645037
7	sub-213	1	-0.0672895037
8	sub-214	1	-0.0471335037
9	sub-215	1	0.0144024963
10	sub-217	1	0.1250054963
11	sub-218	1	0.2347234963
12	sub-219	1	-0.0204665037
13	sub-220	1	-0.0136302037
14	sub-221	1	0.0414414963
15	sub-222	1	0.6492494963
16	sub-225	1	-0.1323225037
17	sub-226	1	-0.3199415037
18	sub-227	1	-0.0666345037
19	sub-228	1	-0.007948503704
20	sub-230	1	-0.0639705037
21	sub-231	1	-0.0784045037
22	sub-234	1	-0.0284205037
23	sub-235	1	0.002220496296
24	sub-236	1	0.004451796296
25	sub-237	1	-0.0109985037
26	sub-238	1	-0.0837865037
